chara_id,label,name,name_en,image_file_name,chara_comment
5434,宝生哲也,宝生哲也,Tetsuya Hosho,191105_housho_vote_kymei.png,ありがとう。【ヒロイン】の想いを受け取るたびに、温かくなるなあ。風邪ひかないようにね
5435,添島啓,添島啓,Kei Soejima,1812_vote_50.png,キミと見る世界は俺が思うより、ずっと煌めいてる。“約束”を果たすその日まで、共に歩もう
5436,津軽高臣,津軽高臣,Takaomi Tsugaru,191107_tsugaru_vote_sp2.png,ウサって、本当に俺のこと好きだよね～。今度こそイチバンになれるかな…。イチバンになりたい
5437,司波譲,司波譲,Yuzuru Shiba,1812_vote_49.png,世界は変えられる、新しく創れる。君という“安全装置”が俺の躊躇いを消してくれるから
5438,東雲歩,東雲歩,Ayumu Shinonome,1812_vote_28.png,君がどれくらい俺のこと好きか…ってこと？十分もらってるけど、もっとくれるなら受け取ろうかな
5439,獅堂和臣,獅堂和臣,Kazuomi Shido,1812_vote_48.png,最後にお前が選ぶ俺が“答え”だ。ならば俺は、選ばれる男であり続けようじゃないか
5440,加賀兵吾,加賀兵吾,Hyogo Kaga,1812_vote_26.png,テメェもほんと物好きだよな。…馬鹿が。テメェはそのままでいい。俺以外見てんじゃねえよ
5441,辻本稔,辻本稔,Minoru Tsujimoto,231026_tsujimoto_vote_yorkm.png,あ～もう超すき。【ヒロイン】の「稔さん好き」がなきゃ生きてけないかも。もっとちょーだい？
5442,蛭川拓斗,蛭川拓斗,Takuto Hirukawa,1812_vote_11.png,お前がくれた分、オレもちゃんと返す。倍以上にな。だから覚悟しとけし！もっと好きにさせてやるから
5443,荒城准,荒城准,Jun Araki,191107_araki_vote_yorkm.png,【ヒロイン】といると、欲が出ちまうな。俺のこと好きでたまんねえって声、死ぬほど聞かせてくれ
5444,一ノ宮英介,一ノ宮英介,Eisuke Ichinomiya,1812_vote_19.png,まだ足りない。俺が何をすれば喜ぶか、妻のお前なら分かっているはずだ。お前の全てを俺に捧げろ
5445,廣瀬遼一,廣瀬遼一,Ryoichi Hirose,1812_vote_09.png,オレのヨメは今日も健気だねえ。こっちも負けないように、丁寧～に愛してやりますよ
5446,高堂宗近,高堂宗近,Munechika Takado,181026_vote_284.png,サンキュー。これで高堂さんはまた幸せ堂さんになりました。お前のことも幸せにする所存です
5447,木場蔵之介,木場蔵之介,Kuranosuke Kiba,211028_kiba_vote_ukari.png,…五月蠅い、ニヤけてない。どうしても褒めてほしければ最後まで気を抜くな。お前の期待に応えてやる
5448,石神秀樹,石神秀樹,Hideki Ishigami HLITF,1812_vote_27.png,あまり無理はするなと言いたいところだが…俺のために頑張るお前の姿も悪くないな
5449,桐沢洋,桐沢洋,Hiroshi Kirisawa,1812_vote_31.png,ありがとな！　【ヒロイン】がいると元気になるなあ。美味いもん食べさせてやる
5450,紅崎瀧,紅崎瀧,Taki Kozaki,1812_vote_37.png,俺がお前を見続けるといったように、お前も俺を見続けてるな…お前も人のこと言えないくらい過保護だ
5451,百千高嶺,百千高嶺,Takane Momochi,191105_takane_vote_masks.png,【ヒロイン】、俺のこと好きすぎだろ。まぁ言われなくても顔見ればわかるけどな。かわいい奴
5452,蓮沼修,蓮沼修,Shu Hasunuma,211028_hasunuma_vote_ukari.png,俺だって【ヒロイン】のことめちゃくちゃ好き…てか、俺のが好きだし！夫の激重愛見せていいの？
5453,ボス,ボス,The Boss,191105_boss_vote_masks.png,いつも私に手厳しい君が、今日は随分と優しいじゃないか。何を企んでいるか、全て教えてもらえるかな？
5454,天王寺豊,天王寺豊,Yutaka Tennoji,1812_vote_32.png,お、おおきに……照れてまうわ！　慣れへんな……慣れへんけどめっちゃ嬉しい！　俺も好きやで！
5455,後藤誠二,後藤誠二,Seiji Goto HLITF,1812_vote_25.png,ありがとう。アンタの気持ちは受け取った。その期待に応えられるよう頑張ると約束する
5456,蘭堂駿,蘭堂駿,Shun Randoh,1812_vote_39.png,【ヒロイン】の手中にいるのも心地がいいものだよ。もっと堪能したいから、もっと俺を乱して
5457,入山椿,入山椿,Tsubaki Iriyama,24_vote_tb0aa.png,ごめん。ぜんぜん満更でもないから。もっとすきって言って
